Genome	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34
MAG01845_bin.255	6316	6381	9460	7114	0	2117	2174	18778	0	4623	4410	0	26727	5947	3164	0	0	9044	0	0	289	3451	0	0	8993	1709	0	20302	46772	2101	11271	8186	0	16122
MAG01845_bin.25	0	8593	1740	0	61783	16178	5362	3881	94	0	0	0	0	2965	994	0	49449	0	0	3835	2590	3893	2515	4798	0	311	2444	693	18081	6522	2463	6674	11149	905
MAG01845_bin.260	10096	11950	0	15710	6462	80484	25313	1211	0	543	6561	0	18443	1670	0	156	25609	1481	0	11902	4710	26976	0	13602	3426	0	0	16556	1191	29730	0	6966	7525	1509
MAG01845_bin.262	0	0	0	9091	2685	28840	99	0	0	390	0	114	0	2024	0	189	63411	1840	0	31	0	77376	1104	0	0	1444	0	727	0	9389	0	140	0	43
MAG01845_bin.263	0	0	0	4064	14036	62246	3684	1340	4403	0	1618	91	883	0	0	0	23045	0	0	4950	0	57301	0	3143	1191	0	0	1011	1877	23791	4507	6252	1041	1329
MAG01845_bin.264	0	0	0	248	95	0	108	0	107	0	1218	0	3450	0	80	0	98	0	0	0	9322	0	0	0	695	0	150	0	0	207765	0	0	0	109
MAG01845_bin.267	2607	1762	1493	5333	4544	17473	3308	3002	0	2218	0	125	0	3733	1653	0	15188	0	0	0	553	163484	0	0	140	2738	0	2718	2684	978	1293	0	1966	1449
MAG01845_bin.271	1981	1054	1514	1110	0	92079	2150	4423	1064	0	513	0	1082	1493	680	0	22434	1661	0	0	0	7725	993	0	294	890	0	3471	903	2664	0	966	0	364
MAG01845_bin.273	0	4143	0	123	37577	0	14945	0	643	4711	2024	799	13299	186	185	0	0	0	177	0	7207	0	72	0	394	0	1060	0	19562	985	0	7762	7512	700
MAG01845_bin.274	5675	3091	1906	14541	12461	38283	6751	1690	0	0	2105	0	6171	2260	1317	0	6820	0	0	1005	1307	93932	896	0	0	1159	0	2794	1785	7915	2802	0	2487	1780
MAG01845_bin.275	26923	21286	17974	52607	11994	25866	9295	10476	3729	0	7559	0	12555	18287	25074	3263	4308	15282	999	8079	8579	25499	9361	11785	9965	12139	11740	12050	11120	12923	1777	13521	16300	9582
MAG01845_bin.28	0	878	0	751	0	127910	0	691	595	0	280	0	0	775	0	1170	46653	0	0	0	192	218930	783	0	195	389	0	496	486	0	36166	932	195	452
MAG01845_bin.29	909	0	538	48971	3612	78881	0	542	0	0	0	5490	0	911	0	5234	84946	1130	0	0	152	21496	0	182	0	787	0	808	1782	61792	10863	0	281	945
MAG01845_bin.30	96	0	0	0	60	0	94	0	91	0	0	0	0	0	57	0	385	0	0	0	22804	0	78	0	40	0	325	0	0	23515	5745	0	0	32
MAG01845_bin.38	1894	18088	1659	159405	20420	35486	0	2698	1316	9349	10260	183	1698	2727	2668	0	47598	3898	0	1274	0	138478	2063	0	51752	2422	0	14869	0	85853	1778	10174	1173	8447
MAG01845_bin.39	0	196	0	32	0	91	10421	0	0	29424	0	0	23148	0	0	0	0	3106	0	684	0	1506	1516	0	0	299	0	9057	31303	0	5864	7431	0	74
MAG01845_bin.3	38382	122808	41979	397	6150	12780	0	30614	0	0	24313	0	0	17198	163865	0	27778	0	1254	11502	0	146005	0	18426	696	292	29897	0	156	46695	0	22831	926	52
MAG01845_bin.40	0	2412	0	32725	6343	20714	2920	5974	10367	0	7211	0	11431	1958	0	0	55867	9489	0	127	0	21876	1689	0	28879	910	2543	8904	2528	7071	0	3731	0	5937
MAG01845_bin.41	905	13183	0	5903	8519	22662	10991	799	953	0	3582	0	3880	687	0	294	59494	0	0	5830	15451	4420	0	7808	0	373	293	1006	8144	13652	0	596	22139	949
MAG01845_bin.42	0	3741	1217	27670	11043	62998	14525	6872	3822	4222	6906	0	1665	1773	0	14483	6941	0	718	9619	0	1374	299	2407	0	0	108	0	18049	10112	0	16255	8067	424
MAG01845_bin.44	392	0	286	0	1865	98180	1701	0	918	0	246	0	0	176	0	0	1935	0	0	0	177	1028	3144	0	967	0	752	0	1837	490880	14957	6859	0	161
MAG01845_bin.45	2799	187	0	1704	33102	75341	0	2638	0	3975	0	0	0	727	0	0	33941	1480	0	94	0	61500	0	623	16204	0	232	2132	0	24317	0	0	150	169
MAG01845_bin.46	580	0	42	0	69143	0	58959	0	0	0	23360	0	0	0	0	0	5018	0	0	0	0	285	0	0	0	0	34	0	0	52242	0	0	84	3
MAG01845_bin.49	3526	6948	1793	11248	2443	132897	2352	3031	0	1274	9164	0	5638	2873	0	0	12777	3232	0	5805	1779	37446	3502	0	495	30104	0	1481	0	1390	2361	7845	0	6149
MAG01845_bin.4	0	4701	57700	146658	6735	164910	1909507	284909	432266	253857	611450	0	3786	85945	190765	0	15322	127304	0	306424	201651	23510	367503	39447	0	8591	87281	5404	1652	249890	1074461	1279675	276504	3443
MAG01845_bin.53	0	10	0	37	0	0	111	0	0	22722	0	0	0	0	39	0	102456	0	0	0	0	19	0	20	0	0	11	0	4483	0	0	43	0	0
MAG01845_bin.55	497	2002683	0	0	418397	1090	1819	1947	0	0	0	0	3626	0	572	0	1114	796	0	0	297	1650	0	1540	54602	0	736	72556	1580266	8513	465018	205624	0	1001
MAG01845_bin.57	1509	9086	1512	0	353971	159734	19417	0	0	4763	4766	3020	2818	2003	1319	1209	2961	1842	0	1314	0	1968	0	0	632	1513	3191	5981	2760	286092	1522	0	1145	4292
MAG01845_bin.59	0	15882	0	0	1141	0	10453	0	0	3004	1854	0	0	0	0	0	0	0	0	7951	2860	0	10	0	63124	0	9151	0	12935	0	9708	94	7658	2
MAG01845_bin.65	0	0	0	28589	0	81534	0	0	0	136	0	0	0	0	251	0	30608	99	0	0	95	0	302	0	425	0	0	0	473	128972	0	0	0	847
MAG01845_bin.66	0	0	281	0	203145	0	1121	0	597	0	828	0	787	0	417	0	271	0	0	1129	0	126	389	0	16150	0	713	0	277	0	173	2082	2101	1083
MAG01845_bin.67	0	677	2124	88070	185489	10129	62916	0	116311	0	0	0	692	0	411	784	103460	0	0	2003	1542	1142	78862	92277	72565	0	9439	0	153458	229146	3341	564872	5886	236
MAG01845_bin.68	6753	8920	0	5247	2914	5128	15486	0	5610	2073	4959	0	2005	682	4965	0	0	1627	0	1518	2117	0	93	4663	11031	798	197	0	12133	9735	0	10994	0	19728
MAG01845_bin.69	0	0	0	0	81	90	1500	0	0	61464	1001	0	3997	0	44	0	0	0	0	0	0	63	0	105	0	90	1052	925	0	191	8854	0	1374	656
MAG01845_bin.6	0	342	0	0	29985	0	1482	0	8403	0	0	12	47103	0	41	0	0	0	0	0	0	14	0	0	5868	0	0	0	8114	0	2880	190	0	136
MAG01845_bin.70	0	304	0	418228	0	326	0	170	0	235	0	0	0	118	0	0	320184	0	0	199	180	0	94	0	644	0	334	0	149	1611	0	954	0	62
MAG01845_bin.72	2383	7969	3463	149503	17891	138978	0	3071	85944	108282	10195	1888	21395	6294	6553	16449	24257	5522	1671	18110	4123	60939	3695	2833	21745	0	25939	13313	13615	51130	66498	76065	4125	213266
MAG01845_bin.73	0	9659	0	11366	12967	9119	11281	787	0	6160	3602	0	6301	0	461	0	2692	0	0	0	1432	0	674	0	498	197	0	689	17014	0	10496	3730	3381	6334
MAG01845_bin.77	0	578	0	273	0	210686	0	4017	182	0	229	0	443	1519	5889	0	40432	8491	0	0	0	37192	927	0	0	162	0	7829	0	53151	0	262	0	296
MAG01845_bin.7	186	0	0	131599	22113	123672	0	0	0	34	0	0	0	0	0	0	67961	0	0	0	0	40887	0	0	0	392	0	781	0	0	0	18	0	24
MAG01845_bin.82	0	452	0	68297	0	57948	0	332	0	0	227	0	0	515	195	0	111195	0	0	0	70	62568	0	0	0	114	0	0	212	689	46794	0	0	202
MAG01845_bin.85	1826	1602	1629	3528	2431	26618	1211	5190	0	722	0	0	960	2950	1118	0	79665	3063	0	0	641	328493	0	0	799	1405	0	0	1344	0	1756	1222	0	2994
MAG01845_bin.86	0	9498	3024	51878	4328	20659	4033	9802	1270	0	5171	0	11910	0	22	0	0	0	0	2668	0	13140	0	0	36334	0	0	9884	1936	5707	13575	17857	0	11219
