Genome	Sample01	Sample02	Sample03	Sample04	Sample05	Sample06	Sample07	Sample08	Sample09	Sample10	Sample11	Sample12	Sample13	Sample14	Sample15	Sample16	Sample17	Sample18	Sample19	Sample20	Sample21	Sample22	Sample23	Sample24	Sample25	Sample26	Sample27	Sample28	Sample29	Sample30	Sample31	Sample32	Sample33	Sample34
MAG01856_bin.16	4910	0	7880	0	0	0	0	14819	0	0	39	0	0	32	0	0	0	23276	0	0	0	0	8643	0	0	0	98	0	0	0	27	0	0	0
MAG01856_bin.171	59166	0	205	9336	796	2329	896	9326	14923	683	0	351	0	22768	34037	2382	2401	281757	0	840	0	255	48209	91	0	0	290	12112	0	2717	0	24273	182	214
MAG01856_bin.172	26446	0	0	2975	0	278	0	1440	999	0	0	0	0	6002	106226	1682	0	181647	0	185	0	15	63160	0	22	30816	0	30204	0	195	0	1451	0	33
MAG01856_bin.176	124319	0	0	0	91	24661	0	0	8966	5687	192	0	0	0	0	97	996	0	0	0	125	0	132	0	0	0	93	188	0	219	0	302	0	74
MAG01856_bin.17	0	0	0	0	0	0	0	0	0	0	0	0	0	585	70556	0	0	0	0	0	0	0	28754	0	0	96	0	0	0	0	0	0	0	0
MAG01856_bin.181	13638	0	28329	11198	0	2684	0	14501	0	0	26	0	0	11707	90	3207	2928	41363	0	0	0	37282	22944	0	27	16954	0	19341	0	294	0	0	15	15
MAG01856_bin.182	14524	0	58725	0	0	0	0	8946	0	0	30	0	0	21991	0	20	0	68455	0	0	0	0	18801	0	0	29891	0	90823	0	6636	0	18	0	24
MAG01856_bin.183	1930	6060	94639	1383	2531	4474	10053	117862	0	0	2722	22639	9586	1719	1172	0	2997	70649	0	0	2592	965	1649	0	1014	1920	4894	42959	0	3059	2739	0	3762	1216
MAG01856_bin.184	17109	0	59425	13561	8237	0	2129	63163	0	0	0	0	0	23803	1122	0	3802	53319	0	0	680	7002	17410	0	2134	10098	0	83673	1780	5794	1333	1218	0	3117
MAG01856_bin.186	167364	20709	26899	21559	0	7679	11283	108911	992	2004	13861	902	1740	196811	296538	2041	39271	64730	0	6705	1667	7980	85284	19463	9111	24354	11252	30116	0	6588	15559	26605	8021	1427
MAG01856_bin.188	1824	22631	0	3035	2319	0	1706	66731	0	9279	1440	2215	25737	25103	3591	4223	4472	52596	98	7518	0	891	4603	0	0	2154	23055	316743	4942	1764	3371	2043	4453	1529
MAG01856_bin.18	966	992	28433	0	812	1685	0	37056	0	617	391	1343	0	17304	64880	35401	1215	90930	0	0	242	0	170560	199	0	2107	0	0	0	904	691	0	232	1039
MAG01856_bin.192	93482	6130	19888	8440	0	6342	3674	123692	940	4941	5207	0	49371	44655	132657	794	12799	71178	0	1900	2864	13848	19663	990	1420	28313	1305	58994	0	8518	16267	5500	3380	13641
MAG01856_bin.194	48608	5655	52390	6170	0	6518	0	34229	1124	5519	3837	0	986	39985	32561	1144	2950	42563	0	1699	0	4375	21522	0	1363	12229	0	71198	10139	6914	0	6799	3628	9175
MAG01856_bin.196	97128	17849	13037	13033	13683	6053	8696	6758	3091	5786	7805	0	11858	10981	78938	0	4029	8241	0	2975	5574	9113	11985	2750	8923	8523	6152	14729	10572	12012	8931	21930	7183	11117
MAG01856_bin.199	1722	0	0	0	284	49096	0	169518	0	45301	0	0	0	0	12882	0	284	0	0	0	0	192	0	0	102	5927	0	0	0	394	0	0	3094	0
MAG01856_bin.201	0	7770	694	0	1693	1250	1605	548892	0	0	3027	2242	2044	2796	1564	880	2509	977	0	0	420	0	1207	185	496	0	0	2441	3342	1905	0	1665	0	1161
MAG01856_bin.203	2797	0	3647	499	0	1224	0	210804	2607	187	0	0	196	60161	0	53	388	280463	0	0	610	0	873584	1043	0	1664990	0	1161	0	0	1729	0	0	9041
MAG01856_bin.205	477783	9980	12654	4859	8292	6951	9593	111994	0	2477	8585	93	6780	98395	4904	0	3504	145303	0	2094	10376	9674	126148	4116	10914	95101	3947	0	3840	12366	6749	9286	8707	10162
MAG01856_bin.206	0	0	75447	2271	0	5569	0	11530	91	0	352	0	1173	96954	0	694	2430	19311	0	0	228	8251	116831	188	0	122229	0	13192	0	0	0	902	0	664
MAG01856_bin.207	3162	2042	6609	3672	3132	3062	984	19528	0	975	0	0	2381	129908	11854	0	1814	33547	0	676	2180	4862	87145	2104	4172	3949	953	3504	1765	29226	0	1786	8242	1025
MAG01856_bin.20	61956	53723	0	284406	14116	56205	25120	129325	173974	20887	11363	3637	4922	83055	177999	5411	21664	1608	0	28325	3727	50202	2127	22710	99631	41423	16978	91525	36109	44956	12722	167720	33972	79050
MAG01856_bin.211	13059	0	7776	0	207	10975	185	24925	0	70	0	0	199	31491	0	0	7984	18150	0	0	113	0	8642	0	85	0	123	28175	193	190	0	253	0	65
MAG01856_bin.212	23894	7505	10353	22872	24285	33624	14048	15653	9220	6932	11608	0	0	13726	10787	2232	7753	59406	0	12392	0	18660	6810	2844	1925	4264	11707	14619	12562	9682	8946	11786	11137	1434
MAG01856_bin.213	257748	63910	155356	19193	0	14542	71698	40694	16995	11427	30507	0	17581	36784	230202	442468	1681	112025	0	43373	56418	7233	344219	16586	41686	144742	51542	340688	8472	15969	19881	17464	9573	36274
MAG01856_bin.218	13751	4253	15778	954	0	6055	1163	2010	2063	2825	3654	0	0	3407	10029	0	2916	7985	0	1181	0	9028	0	1405	1633	16162	1010	0	797	7134	912	2691	0	8491
MAG01856_bin.219	10289	22157	8632	37461	0	53008	25636	350587	16352	4616	17458	4913	16245	21244	9322	1860	12858	9736	0	20836	14710	13032	9917	3663	4131	15635	16997	13845	7713	24510	64936	20371	32254	38251
MAG01856_bin.220	4409	41954	2761	19644	4752	0	25674	2950	15415	7963	8185	0	29607	0	4363	387	2534	2634	0	22315	23124	6840	8694	15013	27162	0	17664	257253	5461	8313	5798	11254	17403	18255
MAG01856_bin.222	0	0	138	0	37	7280	10070	0	191	0	990	0	0	19474	0	213	974	0	0	7929	2131	0	405	1808	0	0	97	0	0	0	6582	0	0	147
MAG01856_bin.22	181	0	95	798	0	413	0	161433	0	36	0	0	0	0	109	0	248	0	0	0	0	0	156692	0	0	560	4715	0	78	7918	0	5929	3123	102
MAG01856_bin.24	45189	2311	103007	28029	30103	26927	31737	2718	22635	17444	10557	0	0	10077	28214	0	11500	0	1490	16144	46835	35225	0	12786	280996	54623	15709	0	20027	42719	13015	15003	68794	23403
MAG01856_bin.25	0	97	12040	11617	92	6764	0	7107	199	0	3129	0	0	21516	0	0	6018	6318	0	8058	15656	10373	7834	0	11549	3739	0	9743	0	16863	0	7102	0	482
MAG01856_bin.26	4352	974	1194	8318	5052	0	0	2284	2629	0	14469	0	782	22082	30243	0	1713	26771	0	0	260	1354	15701	0	12616	3004	0	7419	38718	4502	0	13143	0	11018
MAG01856_bin.27	91	0	0	0	13	0	0	0	13	0	0	0	0	17874	0	0	0	11	0	0	0	0	24840	0	0	58	0	20304	0	0	0	90	0	6
MAG01856_bin.28	1209	2503	0	4402	2134	7104	5352	148981	937	1857	0	0	0	76013	131327	8103	3424	0	0	2407	1343	0	103004	785	0	0	1198	4372	3407	3754	0	2947	1949	5574
MAG01856_bin.29	16198	0	0	97	97	0	0	3770	0	0	0	0	0	0	0	22	0	9551	0	0	0	199	9911	0	0	0	0	0	0	21	0	43	0	10
MAG01856_bin.30	14179	7999	0	11558	10102	7233	0	8237	1898	3940	2958	0	0	46025	0	127	3857	22964	0	1353	0	26509	0	0	119	0	0	11624	0	7866	0	0	2990	160
MAG01856_bin.31	0	0	16309	0	0	0	0	0	0	0	4760	0	2868	3005	11919	0	962	12885	0	288	0	3010	4573	0	0	35805	0	0	0	0	0	0	7107	10511
MAG01856_bin.33	17860	0	40582	4227	2281	0	4866	115542	0	9589	3219	2462	13602	9593	0	0	1071	81511	0	3127	0	103	28820	0	638	1115	5563	174765	3695	2264	1681	0	0	457
MAG01856_bin.34	580307	10798	0	422	0	0	13449	7724	0	11139	25174	0	6942	0	4687	0	900	15248	0	0	195	783	11376	0	20593	14902	3756	122911	6120	7011	0	22397	2192	438
MAG01856_bin.36	5902	0	18092	4524	0	4520	0	46719	1183	0	4740	294	0	62724	82618	89746	3763	154910	0	776	0	7697	289607	0	2240	20178	1424	18153	1721	0	1257	0	1397	1937
MAG01856_bin.37	2986	3990	154330	2363	1837	0	3887	109947	1019	912	2523	0	11393	97621	238373	463904	0	262256	0	4222	0	0	453463	3640	0	854183	2637	129133	0	1152	1350	12031	6615	1077
MAG01856_bin.39	80119	4624	1796	0	4351	0	7127	66413	0	33496	0	4092	0	1540	0	1586	0	14192	5807	3635	0	1692	0	0	33798	6879	2859	346033	7117	19472	0	4356	1490	3669
MAG01856_bin.3	70964	0	0	0	91	0	0	0	0	0	11	0	0	0	0	0	0	13	0	0	0	33	0	0	0	0	0	12496	0	51	0	20	0	79
MAG01856_bin.40	0	4130	581480	6114	448755	269137	180424	0	3662	54714	0	0	0	244	188	0	506626	0	156	0	584	166387	2163	2968	91879	1083	0	0	65137	7878	229535	657151	1106548	333
MAG01856_bin.41	55782	11165	0	5200	0	1220	6888	16854	13118	0	13407	0	0	54982	13126	0	0	31033	0	21140	2351	8168	0	2838	2252	0	3304	1350	2317	936	1896	10457	1915	11292
MAG01856_bin.42	79465	1121	3913	98542	1244	1203	0	61656	0	352	0	136	991	0	35603	0	1588	156771	0	504	0	935	0	258	0	0	486	1180	1104	10572	396	0	0	497
MAG01856_bin.43	0	979	70664	0	1544	0	6908	10157	0	10210	194	0	4527	6679	1192	0	1571	0	0	1993	182	0	2647	0	126	0	544	311411	11621	3380	895	4714	0	846
MAG01856_bin.46	0	1846	2023	1658	1333	11127	0	210843	0	0	0	465	0	40385	2012	1736	10883	4787	0	0	401	0	17951	0	438	19100	0	64555	0	1250	1414	1244	586	2553
MAG01856_bin.47	134507	18090	0	434	0	7512	0	4516	11624	1700	29136	0	23957	8592	24360	0	6914	10122	0	13453	0	0	19153	10893	5303	174783	4961	4318	0	787	1996	24404	24151	4964
MAG01856_bin.48	0	0	881	0	0	0	0	0	0	50	0	21	0	23704	0	99806	0	773	0	0	22	0	46176	0	45	1229	0	0	0	85	0	45	0	67
MAG01856_bin.50	1668	2628	29248	1380	3730	28822	0	159662	488	959	0	921	2416	60176	67959	2240	18214	29740	0	1190	0	7150	49952	0	3515	28631	1323	325538	2805	11039	0	905	0	1607
MAG01856_bin.51	33067	952	0	698	0	3821	0	809	1666	0	1500	0	0	103	0	0	0	306	0	16026	10971	192	11563	0	0	9829	0	94	0	251	0	0	3322	77
MAG01856_bin.52	0	141	25675	94	0	225	0	78536	0	65	0	489	91	2406	97	0	0	186	0	0	0	78	13827	0	196	0	0	68031	0	87	0	0	0	96
MAG01856_bin.53	0	0	34177	1033	4958	1618	9479	104629	956	16122	3608	0	13295	0	0	1210	3768	40695	0	3636	0	0	0	479	951	72067	11454	7928	3798	3507	0	6069	1427	29408
MAG01856_bin.54	6702	0	72	0	0	0	0	7927	0	17	0	0	0	19380	0	10054	185	25452	0	0	54	0	14923	0	0	3413	0	0	0	0	99	186	0	20
MAG01856_bin.55	0	1662	10177	0	1494	4493	1960	1726	3770	0	4972	0	783	4792	102375	238662	2519	1615	0	3173	787	0	38976	0	1140	927	283	0	565	1216	1115	0	698	117
MAG01856_bin.56	0	0	0	1818	97	10547	0	19582	0	71	0	13	96	7552	33932	0	0	52208	0	0	36	0	0	0	68	0	0	53780	0	3083	0	73	0	128
MAG01856_bin.59	0	7061	68645	0	3687	4517	3374	61810	0	0	6214	0	2511	2593	3480	970	1849	29249	0	0	2861	4605	1770	1251	2022	15268	1656	27820	2101	13047	6796	3130	2280	1572
MAG01856_bin.60	32841	5315	22731	13872	10282	4190	2700	12044	3206	1551	6951	0	5869	49024	132585	0	10380	18869	0	490	2944	0	11158	3614	7416	14754	0	12885	0	7331	10146	10610	5879	1338
MAG01856_bin.62	0	0	26054	0	0	34656	195	134939	0	0	0	0	0	0	0	0	0	113066	0	0	15	0	57	0	0	0	0	0	0	0	0	0	16	88
MAG01856_bin.63	0	286	0	195	0	28047	284	3119	0	0	0	0	0	4877	0	0	4786	12632	0	0	22	94	17591	0	0	0	0	25846	0	31	0	376	0	43
MAG01856_bin.65	0	39403	0	201	182	4243	0	997	0	14	0	0	0	93	159780	0	17682	189	0	18499	0	6751	19708	0	0	0	0	0	18109	0	259	18541	0	0
MAG01856_bin.67	0	1787	924	4859	0	3855	2888	51852	0	2184	0	0	0	5742	2229	0	3317	52577	0	0	1611	4415	23331	1017	0	14434	1180	138133	0	2364	4103	2084	2184	10883
MAG01856_bin.69	12409	0	328	0	592	3420	0	0	0	74	0	107	0	0	34143	0	184	52412	0	0	23	0	270	0	893	0	0	0	1029	0	519	0	24	90
MAG01856_bin.6	15965	9072	11975	31179	0	7057	9021	10482	26615	2921	20291	0	14772	22502	21489	0	6716	17818	0	5361	3208	6374	13585	0	5866	9490	8757	41316	4216	2963	7806	20857	8476	14293
MAG01856_bin.70	0	293	0	1329	0	0	374	17845	385	0	77	0	0	55337	0	0	0	149	0	60	0	0	0	0	0	0	52	0	0	113	0	71	0	326
MAG01856_bin.71	176250	0	0	288	0	758	0	0	109	0	145	0	0	0	205	0	1676	50939	0	0	0	598	0	0	78	4720	0	184	0	0	139	0	257	1632
MAG01856_bin.73	947	0	10260	0	2318	1015	589	42238	0	0	319	0	0	22352	0	0	1657	0	0	0	242	0	27383	0	104	0	262	0	1014	0	476	0	834	382
MAG01856_bin.76	0	1681	1290	0	1030	1837	0	623317	0	949	0	3507	1272	222624	1756	2473	0	5400	0	0	125	1312	1056312	0	311	3932	0	7561	0	1300	0	785	0	873
MAG01856_bin.77	217355	4650	98900	12806	0	9228	4093	42616	0	1429	0	1847	4614	173557	2374	43939	6874	127975	0	0	1056	0	163708	3092	2054	23669	3882	141274	0	3083	0	14659	1323	2899
MAG01856_bin.79	0	2454	42925	1683	0	0	0	2011	0	0	0	0	0	3992	46504	0	0	16114	0	0	0	170	6283	0	0	0	0	0	0	0	69	0	0	35
MAG01856_bin.7	317134	0	1656943	0	241	0	263	683	0	69	186	0	0	615039	0	0	1704	408563	0	0	65	282	55023	0	75	11953	99	52383	0	176	0	234	0	80
MAG01856_bin.80	0	6919	592654	0	0	147	0	836	0	0	0	25	0	143	67011	0	55	247090	0	93	0	0	394	0	32	0	110	0	125	0	150	0	522	35
MAG01856_bin.82	3580	0	4130	0	898	888	0	0	0	298	0	532	0	120357	148985	0	0	100554	0	0	111	0	18235	0	302	22644	1414	130975	1064	1105	0	636	0	1141
MAG01856_bin.84	0	299	9923	180	0	784	9157	48463	12517	0	193	0	284	1242	0	0	45	21938	0	199	684	0	6115	0	0	19688	196	53321	22590	3685	0	720	0	263
MAG01856_bin.85	0	33193	0	26246	17396	36471	0	108	0	6078	0	0	6	0	68463	0	28093	0	0	0	0	24770	16427	0	3884	0	29059	489	0	3932	5590	0	0	12
MAG01856_bin.86	0	0	0	97	0	135	0	131981	0	137	0	0	0	32	0	0	0	0	0	0	265	0	35520	0	0	0	0	0	0	0	284	0	0	21
MAG01856_bin.88	0	819	0	0	262	1675	0	8655	0	589	10708	0	0	92	0	0	16731	93	0	0	426	0	54439	1401	0	210	0	0	246	787	0	769	1092	70
MAG01856_bin.8	46897	0	0	0	182	0	0	37765	0	48	0	0	0	0	0	0	26392	0	0	0	10	0	0	0	3799	0	0	0	0	0	0	0	0	0
MAG01856_bin.91	0	121	0	91	0	47873	45550	2638633	0	0	0	89	0	17693	483	391	0	0	0	0	0	0	1503	0	21	0	0	7190	97	0	1951	289	0	213
MAG01856_bin.92	96	0	130	0	1516	196	95	0	0	85	0	33	93	47692	174544	0	97	0	0	0	65	0	376	0	63	0	160	0	138	90	0	0	0	103
MAG01856_bin.94	4192	8025	0	12393	2208	9920	1503	18593	5966	1073	0	99	2808	23891	0	0	0	27617	0	4107	0	5799	62655	2839	6120	0	170	1021	7552	7971	4862	0	2437	7606
MAG01856_bin.95	0	459	490	0	160	913	0	8462	0	0	0	0	120	73710	0	662	0	310	0	0	33	0	295934	0	111	1023	0	0	212	0	558	0	0	167
MAG01856_bin.96	0	117	0	0	38	2200	0	1010	0	0	0	0	0	43903	0	0	1129	184	0	0	0	82	104585	0	0	0	0	32	0	0	0	0	324	9
MAG01856_bin.98	0	586	0	281	0	0	849	2024	1777	598	0	0	0	489	0	168	0	37239	0	199	0	0	4654	0	0	543	0	283	0	671	0	603	0	758
MAG01856_bin.9	281	0	0	1261	0	1960	0	39267	1302	0	963	0	0	32156	1908	0	3509	0	0	0	0	987	80705	0	221	0	156	15201	0	248	0	1253	1072	97
