Genome	Sample1	Sample2	Sample3	Sample4	Sample5	Sample6	Sample7	Sample8
MAG01567_bin.14	66959	67290	137726	37712	91719	261669	92663	73497
MAG01567_bin.15	153398	112329	198439	17293	83335	186289	123885	202877
MAG01567_bin.16	3131	667439	135267	34460	1693	304313	4771	61655
MAG01567_bin.19	114	5542	2523	64	77	89748	1135	1444
MAG01567_bin.20	659	197884	1039	665	3949	73124	51362	948
MAG01567_bin.23	11069	18030	9631	4317	72949	141514	102422	28207
MAG01567_bin.28	364068	48678	87460	23128	16859	86632	47233	44827
MAG01567_bin.3	8896	30350	7325	95743	60952	198912	102384	82759
MAG01567_bin.31	19076	25578	25815	16739	9850	136930	11168	51260
MAG01567_bin.34	479	262069	1390	1519	42290	132222	7019	810
MAG01567_bin.36	32587	148948	72575	14452	79499	83610	61656	21666
MAG01567_bin.37	23603	30449	22135	44225	17747	61196	47702	15979
MAG01567_bin.38	20056	61073	21343	105718	15965	44608	58904	52865
MAG01567_bin.4	2553	14249	977	261	13524	301541	989	1096
MAG01567_bin.5	461	135193	35766	177	14806	91295	8314	101357
MAG01567_bin.6	7262	6513	24634	188	2440	54039	7450	31519
MAG01567_bin.9	44132	342773	123828	96665	53166	215121	92460	201213
MAG01568_bin.10	36234	104499	56209	136333	58429	45367	53824	42478
MAG01568_bin.12	1163	16713	66990	134269	5157	139	112338	25986
MAG01568_bin.13	38303	14970	497	107114	1256	721	923	512
MAG01568_bin.16	63769	174118	29889	170387	16212	50785	13953	78599
MAG01568_bin.17	194353	156357	11249	134166	23925	42874	89932	203690
MAG01568_bin.18	14922	52942	25524	97922	10121	38359	29107	49356
MAG01568_bin.19	26444	5507	9771	381440	3269	14580	34447	18887
MAG01568_bin.22	3096	160185	231477	902263	122707	57212	415086	287551
MAG01568_bin.24	446	247190	389	437152	240	225	945	34870
MAG01568_bin.26	12755	72490	177170	802608	256097	19309	84873	427464
MAG01568_bin.27	28743	275002	207899	379963	234692	234025	211912	134940
MAG01568_bin.28	27421	158725	26264	87719	24970	27218	23408	17258
MAG01568_bin.29	14918	43733	25822	93017	9989	60850	11539	96995
MAG01568_bin.3	43759	6415	23809	286665	23911	2134	74187	32075
MAG01568_bin.30	937	57906	2987	47662	28482	1127	9615	2262
MAG01568_bin.32	13180	52461	722	54105	30612	31513	13804	5656
MAG01568_bin.35	31697	20121	5498	79887	47512	20467	4555	9254
MAG01568_bin.37	1313	14807	93002	85007	606	7050	40182	41810
MAG01568_bin.39	5681	42986	6084	134418	8264	10025	5225	5614
MAG01568_bin.40	43428	75468	43336	96175	18316	29658	51088	34313
MAG01568_bin.5	24709	131237	58834	860638	55729	14941	119982	18716
MAG01568_bin.6	4240	25262	118768	99256	581	2622	2990	6114
MAG01568_bin.8	8922	106439	45534	1360588	24460	12432	84010	279303
MAG01568_bin.9	309970	7849	543084	118274	32161	11094	108161	68775
MAG01569_bin.10	52302	286771	46318	65188	48252	19614	76873	49481
MAG01569_bin.12	21738	129262	46222	45225	39890	4971	11089	19136
MAG01569_bin.15	1025	112343	287	450	1010	4149	3550	38903
MAG01569_bin.18	15706	99803	10429	28355	14031	14033	3477	18694
MAG01569_bin.19	8258	119590	39158	27964	10387	3683	13601	10937
MAG01569_bin.20	160	93447	1392	56129	18013	200362	143	20446
MAG01569_bin.21	5891	144144	28855	10704	1033	1490	32388	55583
MAG01569_bin.22	24365	129574	752	55438	57453	58402	25855	10223
MAG01569_bin.26	144660	276112	106993	31063	17396	88800	27311	63579
MAG01569_bin.29	70824	407401	88889	39664	18676	26301	71987	71432
MAG01569_bin.3	6779	112789	29714	10150	4664	5220	7882	22367
MAG01569_bin.31	7884	80904	13466	9648	30697	32668	13381	40361
MAG01569_bin.32	11052	141250	74612	9951	78354	72631	58351	17721
MAG01569_bin.33	1441	59548	1588	1789	6550	7388	35024	20727
MAG01569_bin.34	12998	160592	24145	2981	286	183	20339	2985
MAG01569_bin.36	21665	1039638	28043	22285	13769	32597	44183	75884
MAG01569_bin.37	2812	565818	7085	113104	1750	230497	2451	44960
MAG01569_bin.38	83813	726510	8673	122118	316973	165888	163030	35221
MAG01569_bin.4	3506	170109	10083	19443	5662	3881	11189	4517
MAG01569_bin.42	104464	717134	57008	3830	2945	1974	89071	114726
MAG01569_bin.43	4189	280437	19962	721	751	772	118141	59411
MAG01569_bin.45	1929	162549	2142	6183	1185	8107	14533	2179
MAG01569_bin.46	37794	59190	41366	27734	15955	28148	37434	25744
MAG01569_bin.47	1169	178713	12467	8627	2157	1898	11980	15935
MAG01569_bin.48	14543	63535	32290	1122	10425	10249	18513	9265
MAG01569_bin.49	11833	79155	6221	6929	15688	46345	38610	8700
MAG01569_bin.50	3583	204533	16674	44847	21539	5216	16206	15812
MAG01569_bin.51	372	58081	844	226	24877	30101	33821	348
MAG01569_bin.53	45916	260098	103313	64690	100549	72372	90496	30160
MAG01569_bin.54	12866	94932	47197	14199	10184	43738	26500	72142
MAG01569_bin.55	8676	249372	4085	31547	6490	43339	16084	50456
MAG01569_bin.57	41082	106903	37512	12882	13626	21456	43074	42792
MAG01569_bin.59	29378	591257	119025	347	23042	2042	44915	125138
MAG01569_bin.6	12024	727295	105626	76872	75804	25793	131063	75296
MAG01569_bin.60	68532	142709	354548	7270	6399	829	45507	29981
MAG01569_bin.61	15794	1359971	199782	153151	11352	4400	226282	426790
MAG01569_bin.62	9055	70320	11275	10490	31863	4930	8741	18415
MAG01569_bin.63	66535	374917	7300	62324	161765	91048	56147	16588
MAG01569_bin.64	50503	88958	30501	16161	43804	47672	29920	26537
MAG01569_bin.66	400	366946	918	1709	48551	54771	73598	1621
MAG01569_bin.67	1158	417988	1210	727	450	1117	1007	836
MAG01569_bin.68	871	70088	630	2546	3887	599	1086	688
MAG01569_bin.69	29977	140837	41842	71013	22349	33943	40764	27180
MAG01569_bin.70	1349	78424	13683	33146	8121	7140	10540	27230
MAG01569_bin.71	86127	369972	6293	30333	29374	40335	45814	8010
MAG01569_bin.74	11060	45653	1383	8672	4510	10545	2156	45064
MAG01569_bin.75	1551	748049	55105	43274	4371	24637	1402	33436
MAG01569_bin.77	51400	252799	23833	407974	7898	68681	31691	296126
MAG01569_bin.9	5030	300036	3382	10735	7415	18400	158402	98179
MAG01570_bin.11	1292	9060	19849	803	1737	27452	12419	53907
MAG01570_bin.15	978	3267	3695	1278	48	1067	13418	56466
MAG01570_bin.16	37223	576997	132298	533	31882	2807	58232	310596
MAG01570_bin.17	55584	143648	2461	36786	38662	21679	30509	123297
MAG01570_bin.19	1176	20746	3113	1795	2476	1758	2833	158578
MAG01570_bin.20	110337	234978	53401	1685	113002	2229	29541	172594
MAG01570_bin.21	50138	135949	49579	310735	23640	43958	173127	370628
MAG01570_bin.24	1632	2801	4398	2739	2149	1478	24988	74132
MAG01570_bin.25	786	12031	65062	372	134	425	135552	169614
MAG01570_bin.28	20747	20609	68876	3884	7801	80586	23387	210198
MAG01570_bin.34	16610	49647	45870	35247	12374	62189	26261	170725
MAG01570_bin.4	72819	100000	50550	14955	7946	42524	13365	58510
MAG01570_bin.7	7536	24917	22784	281	14959	9827	13389	37585
